PU,Species,Genus,NRRL,CBS,Other,Hittinger,Cellobiose,Citrate,D-Glucosamine,Fructose,Galactose,Glycerol,L-Arabinose,L-Sorbose,Lactose,Maltose,Mannose,myo-Inositol,Rhamnose,Xylose,Raffinose,Sucrose,DL-Lactate
40971,Kazachstania viticola,Kazachstania,NRRL Y-27206, CBS 6463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40972,Kazachstania solicola,Kazachstania,NRRL Y-27207, CBS 6904,NA,NA,NA,NA,0,0.514612143,0.581947383,0.397470814,0,0,NA,0,0.340233771,0,0.010161433,0.00688983,0,0,0
40973,Kazachstania kunashirensis,Kazachstania,NRRL Y-27209, CBS 7662,NA,NA,0,NA,0,0.359382919,0.769014201,0,0,0,0,0,1.204876607,0,0,0.137519468,0,0.118330409,0
40974,Kazachstania sinensis,Kazachstania,NRRL Y-27222, CBS 7660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40975,Kazachstania barnettii,Kazachstania,NRRL Y-27223, CBS 6946,NA,yHAB162,0,NA,0,0.200156437,0.782224172,NA,NA,0,NA,0,0.97378641,0,NA,NA,0.212724213,0.486567363,0
40977,Kazachstania aerobia,Kazachstania,NRRL Y-27976, CBS 9918,NA,NA,NA,0,0,0.334735382,0.50532704,0,0,0,0,0,0.178514101,0,0.318849154,NA,0,0,0
40979,Kazachstania servazzii,Kazachstania,NRRL Y-12661, CBS 4311,NA,NA,0,0,NA,0.223681914,0.935129464,0,0,0,0,0,0.1956319,0,NA,NA,0,0,0
40980,Kazachstania exigua,Kazachstania,NRRL Y-12640, CBS 379,NA,NA,0,0,NA,0.29545324,0.577938812,0,0,0,NA,0,0.129200003,NA,0.00882117,0.048907693,0.145137278,0.68727532,0
40982,Kazachstania intestinalis,Kazachstania,NRRL Y-48847, CBS 11839,NA,NA,0,0,0,0.315402484,0.688151433,0.230824462,NA,0,0,0,0.275698689,0.050102012,0.007314344,0.020440561,0,0,0
40983,Kazachstania taianensis,Kazachstania,NRRL Y-48846, CBS 11405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40985,Kazachstania hellenica,Kazachstania,NRRL Y-48844, CBS 10706,NA,NA,NA,NA,0,0,0.064556517,0,0,0,0,0.040184181,0,0,0.009020691,NA,0.32625561,0.73808067,0
40986,Kazachstania jiainica,Kazachstania,NRRL Y-48843, CBS 10587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40987,Kazachstania siamensis,Kazachstania,NRRL Y-48842, CBS 10361,NA,NA,NA,0,0,0,1.36774745,0,0,0,0,0,0,0,0,0.436154786,0,0,0
40988,Kazachstania gamospora,Kazachstania,NRRL Y-48841, CBS 10328,NA,NA,0,0,0,0.179613818,0,0.076295595,0,0,0,0,0.145568128,0,0.038469688,0.078892856,0.363123792,0.843088497,0
40989,Kazachstania zonata,Kazachstania,NRRL Y-48840, CBS 10326,NA,NA,0,0,0,0.325231563,0,0.26390372,0,NA,0,0,0.248959459,0.105818456,0.053289781,0.241075621,0,0,0
40990,Kazachstania bovina ,Kazachstania,NRRL Y-7283, CBS 9732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40991,Kazachstania heterogenica,Kazachstania,NRRL Y-27499, CBS 2675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40992,Kazachstania pintolopesii,Kazachstania,NRRL Y-27500, CBS 2985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40993,Kazachstania telluris,Kazachstania,NRRL Y-4302, CBS 2685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40994,Kazachstania martiniae,Kazachstania,NRRL Y-409, CBS 6334,NA,NA,0,0,0,0.176146201,0.682327497,0,0,0,0,0,0.201119965,0,0.047428535,0.044673369,NA,0,NA
40995,Kazachstania unispora,Kazachstania,NRRL Y-1556, CBS 398,NA,NA,0,0,0,0.407416746,0.707824658,0,0,0,NA,0,0,NA,0.322001053,0.006688909,0,0,0
40996,Kazachstania turicensis,Kazachstania,NRRL Y-48834,NA, DBVPG 7206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40997,Kazachstania bromeliacearum,Kazachstania,NRRL Y-48836, CBS 7996,NA,NA,0,NA,NA,0,1.279126641,0,NA,0,0,0,0.387078917,0,NA,0.003098509,0,0,0
40998,Kazachstania africana,Kazachstania,NRRL Y-8276, CBS 2517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40999,Kazachstania lodderae,Kazachstania,NRRL Y-8280,CBS 2757,NA,NA,0,0,0,0.246094486,0.835835847,0.212430287,0,0,0,0,0.337887739,0,NA,0.000996688,0.352467753,0.700472584,0
41000,Kazachstania naganishii,Kazachstania,NRRL Y-48838, CBS 8797,NA,NA,0,0,NA,0.256301432,0.33392201,NA,0,0,0,0,0.193397496,0,0.029057232,0.002480294,0.203533099,0.84742922,0
41001,Kazachstania naganishii,Kazachstania,NRRL Y-48839, CBS 8893,NA,NA,0,NA,NA,0.286853561,0.524936403,0,0,0,0,0,1.073041914,0,0.035459524,0.003239974,0.211024467,0.689470831,0
38676,Kazachstania sp,Kazachstania,NA,NA,UFMG-CM Y273,yHDO576,0,0,0,0.299042484,0.755709975,0,0,0,NA,0.016640849,0.908385118,0.027758666,0,0,0.313865459,0.718733068,0
37210,Kazachstania jinghongensis,Kazachstania,NA,CBS 15232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34663,Kloeckera lindneri ,Kloeckera,NRRL Y-17531, CBS 285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
